	color	color_group	count_c	c_tend	c_light	c_satur
0	8	3048	4	3	0	0
1	8	3089	4	3	0	0
2	8	3526	4	3	0	0
3	8	3603	4	3	0	0
4	17	3159	4	0	1	1
5	48	3819	4	0	0	1
6	102	4346	5	1	1	1
7	135	4373	5	3	1	0
8	136	2810	4	3	1	0
9	136	2832	4	3	1	0
10	136	2851	4	3	1	0
11	136	3240	4	3	1	0
12	136	3248	4	3	1	0
13	136	3278	4	3	1	0
14	136	3347	4	3	1	0
15	136	3349	4	3	1	0
16	136	3353	4	3	1	0
17	136	3368	4	3	1	0
18	136	3431	4	3	1	0
19	136	3448	4	3	1	0
20	136	3531	4	3	1	0
21	171	3553	4	3	1	0
22	171	3822	4	3	1	0
23	176	3050	4	3	1	0
24	176	3438	4	3	1	0
25	176	3668	4	3	1	0
26	176	3745	4	3	1	0
27	215	3448	4	0	0	1
28	341	2823	4	0	1	1
29	358	3151	4	1	1	1
30	366	4098	5	0	1	0
31	367	4098	5	0	1	0
32	368	4098	5	2	0	0
33	369	4098	5	2	0	1
34	370	4098	5	2	0	0
35	371	4099	5	2	0	1
36	372	4099	5	0	0	0
37	373	4099	5	0	0	1
38	374	4099	5	1	0	0
39	375	4099	5	1	0	0
40	376	4100	5	0	1	1
41	377	4100	5	0	1	1
42	378	4100	5	0	0	1
43	379	4100	5	0	0	0
44	380	4100	5	0	1	1
45	381	4101	5	0	0	1
46	382	4101	5	0	0	1
47	383	4101	5	0	0	0
48	384	4101	5	0	1	1
49	385	4101	5	0	0	1
50	386	4102	5	0	1	1
51	387	4102	5	0	1	1
52	388	4102	5	1	1	1
53	389	4102	5	1	0	1
54	390	4102	5	1	0	1
55	391	4103	5	1	1	1
56	392	4103	5	1	0	1
57	393	4103	5	0	0	1
58	394	4103	5	1	0	1
59	395	4103	5	0	0	0
60	396	4104	5	1	1	1
61	397	4104	5	1	0	1
62	398	4104	5	0	1	1
63	399	4104	5	0	1	1
64	400	4104	5	0	1	1
65	401	4105	5	0	1	1
66	402	4105	5	0	1	1
67	403	4105	5	2	1	0
68	404	4105	5	2	1	0
69	405	4105	5	1	1	1
70	406	4106	5	0	0	1
71	407	4106	5	0	1	0
72	408	4106	5	0	0	0
73	409	4106	5	0	1	0
74	410	4106	5	0	1	1
75	411	4107	4	0	0	1
76	412	4107	4	1	0	0
77	413	4107	4	1	1	0
78	414	4107	4	0	1	1
79	415	4108	5	1	0	1
80	416	4108	5	1	0	1
81	417	4108	5	0	0	1
82	418	4108	5	0	0	1
83	419	4108	5	0	1	1
84	420	4109	5	2	0	1
85	421	4109	5	2	0	1
86	422	4109	5	2	0	1
87	423	4109	5	2	0	1
88	424	4109	5	0	1	1
89	425	4110	5	0	1	1
90	426	4110	5	0	1	1
91	427	4110	5	0	1	1
92	428	4110	5	0	1	1
93	429	4110	5	0	1	1
94	430	4111	5	1	1	0
95	431	4111	5	1	1	1
96	432	4111	5	1	1	0
97	433	4111	5	1	0	0
