	color	color_group	count_c	c_tend	c_light	c_satur
0	8	3048	4	3	0	0
1	8	3089	4	3	0	0
2	8	3526	4	3	0	0
3	8	3603	4	3	0	0
4	17	3159	4	0	1	1
5	48	3819	4	0	0	1
6	102	4346	5	1	1	1
7	135	4373	5	3	1	0
8	136	2810	4	3	1	0
9	136	2832	4	3	1	0
10	136	2851	4	3	1	0
11	136	3240	4	3	1	0
12	136	3248	4	3	1	0
13	136	3278	4	3	1	0
14	136	3347	4	3	1	0
15	136	3349	4	3	1	0
16	136	3353	4	3	1	0
17	136	3368	4	3	1	0
18	136	3431	4	3	1	0
19	136	3448	4	3	1	0
20	136	3531	4	3	1	0
21	171	3553	4	3	1	0
22	171	3822	4	3	1	0
23	176	3050	4	3	1	0
24	176	3438	4	3	1	0
25	176	3668	4	3	1	0
26	176	3745	4	3	1	0
27	181	4388	1	2	0	0
28	214	4389	5	1	1	1
29	215	3448	4	0	0	1
30	221	4389	5	0	1	1
31	236	4386	5	2	0	1
32	241	4389	5	1	0	1
33	285	4385	5	2	1	0
34	285	4386	5	2	1	0
35	307	4386	5	2	0	1
36	311	4385	5	1	1	1
37	315	4385	5	0	1	1
38	317	4389	5	0	1	0
39	341	2823	4	0	1	1
40	350	4386	5	2	0	1
41	355	4389	5	1	1	1
42	358	3151	4	1	1	1
43	361	4385	5	0	0	0
44	366	4098	5	0	1	0
45	367	4098	5	0	1	0
46	368	4098	5	2	0	0
47	369	4098	5	2	0	1
48	370	4098	5	2	0	0
49	371	4099	5	2	0	1
50	372	4099	5	0	0	0
51	373	4099	5	0	0	1
52	374	4099	5	1	0	0
53	375	4099	5	1	0	0
54	376	4100	5	0	1	1
55	377	4100	5	0	1	1
56	378	4100	5	0	0	1
57	379	4100	5	0	0	0
58	380	4100	5	0	1	1
59	381	4101	5	0	0	1
60	382	4101	5	0	0	1
61	383	4101	5	0	0	0
62	384	4101	5	0	1	1
63	385	4101	5	0	0	1
64	386	4102	5	0	1	1
65	387	4102	5	0	1	1
66	388	4102	5	1	1	1
67	389	4102	5	1	0	1
68	390	4102	5	1	0	1
69	391	4103	5	1	1	1
70	392	4103	5	1	0	1
71	393	4103	5	0	0	1
72	394	4103	5	1	0	1
73	395	4103	5	0	0	0
74	396	4104	5	1	1	1
75	397	4104	5	1	0	1
76	398	4104	5	0	1	1
77	399	4104	5	0	1	1
78	400	4104	5	0	1	1
79	401	4105	5	0	1	1
80	402	4105	5	0	1	1
81	403	4105	5	2	1	0
82	404	4105	5	2	1	0
83	405	4105	5	1	1	1
84	406	4106	5	0	0	1
85	407	4106	5	0	1	0
86	408	4106	5	0	0	0
87	409	4106	5	0	1	0
88	410	4106	5	0	1	1
89	411	4107	4	0	0	1
90	412	4107	4	1	0	0
91	413	4107	4	1	1	0
92	414	4107	4	0	1	1
93	415	4108	5	1	0	1
94	416	4108	5	1	0	1
95	417	4108	5	0	0	1
96	418	4108	5	0	0	1
97	419	4108	5	0	1	1
