class,is_light,tendency,is_satur
#f0f8ff,True,Blue,True
#faebd7,True,Red,True
#00ffff,False,Green,True
#7fffd4,True,Green,True
#f0ffff,True,Green,True
#f5f5dc,True,Red,True
#ffe4c4,True,Red,True
#000000,False,Colorless,False
#ffebcd,True,Red,True
#0000ff,False,Blue,True
#8a2be2,True,Blue,True
#a52a2a,False,Red,True
#deb887,True,Red,True
#5f9ea0,False,Blue,False
#7fff00,False,Green,True
#d2691e,False,Red,True
#ff7f50,True,Red,True
#6495ed,True,Blue,True
#fff8dc,True,Red,True
#dc143c,False,Red,True
#00008b,False,Blue,True
#008b8b,False,Green,True
#b8860b,False,Red,True
#a9a9a9,True,Colorless,False
#006400,False,Green,True
#bdb76b,True,Red,False
#8b008b,False,Red,True
#556b2f,False,Green,False
#ff8c00,False,Red,True
#9932cc,False,Blue,True
#8b0000,False,Red,True
#e9967a,True,Red,True
#8fbc8f,True,Green,False
#483d8b,False,Blue,False
#2f4f4f,False,Green,False
#00ced1,False,Blue,True
#9400d3,False,Blue,True
#ff1493,True,Red,True
#00bfff,False,Blue,True
#696969,False,Colorless,False
#1e90ff,True,Blue,True
#b22222,False,Red,True
#fffaf0,True,Red,True
#228b22,False,Green,True
#ff00ff,False,Red,True
#dcdcdc,True,Colorless,False
#f8f8ff,True,Blue,True
#ffd700,False,Red,True
#daa520,False,Red,True
#808080,False,Colorless,False
#008000,False,Green,True
#adff2f,True,Green,True
#f0fff0,True,Green,True
#ff69b4,True,Red,True
#cd5c5c,True,Red,True
#4b0082,False,Blue,True
#fffff0,True,Red,True
#f0e68c,True,Red,True
#e6e6fa,True,Blue,True
#fff0f5,True,Red,True
#7cfc00,False,Green,True
#fffacd,True,Red,True
#add8e6,True,Blue,True
#f08080,True,Red,True
#e0ffff,True,Green,True
#fafad2,True,Red,True
#d3d3d3,True,Colorless,False
#90ee90,True,Green,True
#ffb6c1,True,Red,True
#ffa07a,True,Red,True
#20b2aa,False,Green,True
#87cefa,True,Blue,True
#778899,True,Blue,False
#b0c4de,True,Blue,False
#ffffe0,True,Red,True
#00ff00,False,Green,True
#32cd32,False,Green,True
#faf0e6,True,Red,True
#800000,False,Red,True
#66cdaa,True,Green,True
#0000cd,False,Blue,True
#ba55d3,True,Blue,True
#9370db,True,Blue,True
#3cb371,False,Green,False
#7b68ee,True,Blue,True
#00fa9a,False,Green,True
#48d1cc,True,Green,True
#c71585,False,Red,True
#191970,False,Blue,True
#f5fffa,True,Green,True
#ffe4e1,True,Red,True
#ffe4b5,True,Red,True
#ffdead,True,Red,True
#000080,False,Blue,True
#fdf5e6,True,Red,True
#808000,False,Red,True
#6b8e23,False,Green,True
#ffa500,False,Red,True
#ff4500,False,Red,True
#da70d6,True,Red,True
#eee8aa,True,Red,True
#98fb98,True,Green,True
#afeeee,True,Green,True
#db7093,True,Red,True
#ffefd5,True,Red,True
#ffdab9,True,Red,True
#cd853f,True,Red,True
#ffc0cb,True,Red,True
#dda0dd,True,Red,False
#b0e0e6,True,Blue,True
#800080,False,Red,True
#ff0000,False,Red,True
#bc8f8f,True,Red,False
#4169e1,True,Blue,True
#8b4513,False,Red,True
#fa8072,True,Red,True
#f4a460,True,Red,True
#2e8b57,False,Green,False
#fff5ee,True,Red,True
#a0522d,False,Red,True
#c0c0c0,True,Colorless,False
#87ceeb,True,Blue,True
#6a5acd,True,Blue,True
#708090,False,Blue,False
#fffafa,True,Red,True
#00ff7f,False,Green,True
#4682b4,False,Blue,False
#d2b48c,True,Red,False
#008080,False,Green,True
#d8bfd8,True,Red,False
#ff6347,True,Red,True
#40e0d0,True,Green,True
#ee82ee,True,Red,True
#f5deb3,True,Red,True
#ffffff,True,Colorless,False
#f5f5f5,True,Colorless,False
#ffff00,False,Red,True
#9acd32,False,Green,True
#333333,False,Colorless,False
#a28351,False,Red,False
#999999,True,Colorless,False
#263358,False,Blue,False
#182e4f,False,Blue,True
#aaaaaa,True,Colorless,False
#00ba00,False,Green,True
#7989a3,True,Blue,False
#666666,False,Colorless,False
#993366,False,Red,False
#f4f4f4,True,Colorless,False
#3c89d6,True,Blue,True
#d66363,True,Red,True
#7b2852,False,Red,True
#ead53d,True,Red,True
#283f6c,False,Blue,False
#65aaf0,True,Blue,True
#555555,False,Colorless,False
#272727,False,Colorless,False
#4e4e4e,False,Colorless,False
#00abf0,False,Blue,True
#39579a,False,Blue,False
#eb8984,True,Red,True
#c9171e,False,Red,True
#0077b5,False,Blue,True
#c84941,True,Red,True
#ea4c89,True,Red,True
#ea4b49,True,Red,True
#555753,False,Green,False
#7d775c,False,Red,False
#b7a5df,True,Blue,False
#d4cddc,True,Blue,False
#9685ba,True,Blue,False
#988f5e,False,Red,False
#b3ae94,True,Red,False
#1dffff,True,Green,True
#ff4328,True,Red,True
#ff7eff,True,Red,True
#67f4f4,True,Green,True
#baffff,True,Green,True
#f63f6c,True,Red,True
#7241ff,True,Blue,True
#ff0aff,True,Red,True
#ff44ff,True,Red,True
#39ffff,True,Green,True
#ffff25,True,Red,True
#1cffff,True,Green,True
#ffc4ff,True,Red,True
